id,post_cid,post_uri,text,author_handle,like_count,repost_count,reply_count,created_at,query_used,collected_at,source
1,bafyreig774spfxtjkvvchtvqwrzxrd2qedxit7xaxt3zk7ssanzec4depm,at://did:plc:ggftwcrb3jxn4uuxvtorqeup/app.bsky.feed.post/3mnc2awr3dk2e,"A New App, The Mall, Is Building A Universal Feed For Online Shopping

The Mall app is building a universal feed for online shopping, helping users discover products across stores in one personalized experience.

DETAILS: www.techticia.com/2026/06/a-ne...",techticia.bsky.social,0,0,0,2026-06-02 15:13:54.710000,online shopping experience,2026-06-02 18:36:11.836947,bluesky
2,bafyreihbbqiopwkpshszbafl4h2kzeql3kygzsxyishvoux5dsxnujxevm,at://did:plc:4hn2ld3q5zelho23lx372hx5/app.bsky.feed.post/3mnbqubombs2v,"Jakob Nielsen, a UX pioneer, writes about e-commerce usability.

> An online shopping experience should be entirely effortless, but forced signups introduce immediate, frustrating barriers.

If you’re into e-com, you should read this piece:
jakobnielsenphd.substack.com/p/ux-roundu...",jjude.com,1,0,0,2026-06-02 12:25:46.245115,online shopping experience,2026-06-02 18:36:11.836947,bluesky
3,bafyreidmxoeu5yg64lzshb364gdrdtvojgcegl533qkxebur74jiaahyie,at://did:plc:acyels5rmrsgk7ek7hhzt6dh/app.bsky.feed.post/3mn7wsr66y22b,"Except that now the online selection is likely more comprehensive than what's available in store, cheaper unless you go to a big-box discount retail barn, and delivery is days not weeks.

Catalogue shopping in the 80s wasn't a great experience, and grocery deliveries a la 1950s had died out by then.",slothlydad.bsky.social,4,0,1,2026-06-01 19:06:58.389000,online shopping experience,2026-06-02 18:36:11.836947,bluesky
4,bafyreie5xs7d37xisnc3imbqhbigqfxwtphgkrgasizj62qtzhf3bz3pja,at://did:plc:bmtypvtitp6urxvc4a6szuys/app.bsky.feed.post/3mn7dchuqya2a,"sign of the times as malls have been more or less phased out, outsold by the advent of online shopping. Not to say they're all gone, there are malls in my area that still have business and have those missing 3rd spaces still. But its not as wide spread or a cornerstone to the teenage experience in",captaincorndog13.bsky.social,0,0,1,2026-06-01 13:17:50.683000,online shopping experience,2026-06-02 18:36:11.836947,bluesky
5,bafyreieqovfmijfsvn6yhtrxh2zazwtevon7ootunqlyoadgbwgcdjeeuq,at://did:plc:apqqv6j4pu7x5v6vzxhbuw3h/app.bsky.feed.post/3mmtw3eoaik2m,"I was just talking about this to my cohorts because this is a HUGE change in business practices. Like if you have felt like every online shopping experience is a scam now, or that someone is out to trick you, or bypass your consent, you aren’t wrong. It’s not in your head.",sharonz.bsky.social,35,5,2,2026-05-28 00:21:56.674000,online shopping experience,2026-06-02 18:36:11.836947,bluesky
6,bafyreiegq753k2pwmsaqkgjoogc3k7ujufeabiamxzs6sokvuuclxgebty,at://did:plc:mdlfevlckd6bt2nijcsjg7z2/app.bsky.feed.post/3mmsgbvrnzs2i,The big box stores drove foot traffic down because anything you can get from them you can get online now. Very few of them offer anything unique to an in person shopping experience. Small quirky stores do.,wrenchesabound.bsky.social,2,0,1,2026-05-27 10:06:35.900000,online shopping experience,2026-06-02 18:36:11.836947,bluesky
7,bafyreiggb62z72g6xd27gkny32ptomadirwhmfqx6palbuatouthhnlkti,at://did:plc:qmu5auqwzgwutebewndwhzb6/app.bsky.feed.post/3mmrx2bk3qs2a,These clmpanies manufactured claims of high shrink. They are just adding extra friction into the shopping experience to push people to online shopping which lowers their expenses and maximizes their profits.,amaditalks.bsky.social,9,3,0,2026-05-27 05:33:54.101000,online shopping experience,2026-06-02 18:36:11.836947,bluesky
8,bafyreiacyyu426syxfvwerirrwitaptf6gxfzhgxxud3tgwc4bssyhfwce,at://did:plc:rpjnaiprg2f7ba2cbmbayib4/app.bsky.feed.post/3mmrl5o777s2n,"And even more than the permanence thing, digging through the crates or browsing the stacks is every bit as pleasant an experience as any kind of online shopping is a deeply unpleasant experience in 2026.",olliemcclellan.bsky.social,2,0,0,2026-05-27 02:01:03.140000,online shopping experience,2026-06-02 18:36:11.836947,bluesky
9,bafyreif3f6hml56oxpqedm35eahvtgkv2bmbeknhuxdtca3egoecaw2gni,at://did:plc:56i5k4rdeizxjwiot7kufsqq/app.bsky.feed.post/3mmmrpwfhou2k,"ALDI U.S. Debuts New Nationwide Digital Experience Using Instacart’s Enterprise Technology

https://www.europesays.com/germany/22673/

The upgraded website and app deliver a simpler online shopping experience for ALDI customers nationwide Instacart is now…",eu-de.bsky.social,0,0,0,2026-05-25 04:15:17.000000,online shopping experience,2026-06-02 18:36:11.836947,bluesky
10,bafyreidvj7i2d26piquqt32rqcs4delhc3okm3nzdnhh7s5orkco7ixn5q,at://did:plc:ze3u67vduq7j3opi7u4m55lx/app.bsky.feed.post/3mmkf2chpg225,"A weird shopping experience:

Protein powder at a local supermarket is $43: if I go to the store.

The same product, from the same store, drops to $36, if I buy it online, and that includes free same day delivery. 🤷",arichat.bsky.social,2,0,0,2026-05-24 05:23:09.552000,online shopping experience,2026-06-02 18:36:11.836947,bluesky
