id,platform,platform_weight,query_used,records_fetched,collected_at,status,error_message,duration_seconds
1,youtube,primary,digital market trends 2021,281,2026-06-02 18:25:25.505076,success,,18.50960612297058
2,youtube,primary,digital market trends 2022,329,2026-06-02 18:25:49.339183,success,,18.79914379119873
3,youtube,primary,digital market trends 2023,351,2026-06-02 18:26:12.818256,success,,18.437886714935303
4,youtube,primary,digital market trends 2024,511,2026-06-02 18:26:37.103245,success,,19.230469703674316
5,youtube,primary,digital market trends 2025,498,2026-06-02 18:27:00.415622,success,,18.269460916519165
6,youtube,primary,digital market trends 2026,378,2026-06-02 18:27:23.709484,success,,18.256959676742554
7,youtube,primary,online shopping experience review,478,2026-06-02 18:27:47.534606,success,,18.787285089492798
8,youtube,primary,ecommerce product review,455,2026-06-02 18:28:11.410852,success,,18.84051537513733
9,youtube,primary,digital marketplace customer experience,3,2026-06-02 18:28:33.281594,success,,16.83366107940674
10,youtube,primary,best online store review,369,2026-06-02 18:28:56.811919,success,,18.49210286140442
11,youtube,primary,product unboxing review,587,2026-06-02 18:29:21.024612,success,,19.17005181312561
12,youtube,primary,customer service experience review,653,2026-06-02 18:29:45.351521,success,,19.274293899536133
13,youtube,primary,product quality review online store,674,2026-06-02 18:30:09.296250,success,,18.905909538269043
14,youtube,primary,online shopping complaint,682,2026-06-02 18:30:33.540969,success,,19.206525802612305
15,youtube,primary,best deals online shopping,310,2026-06-02 18:30:57.504691,success,,18.92899441719055
16,youtube,primary,digital product review,627,2026-06-02 18:31:21.384371,success,,18.8450870513916
17,youtube,primary,consumer behavior online market,194,2026-06-02 18:31:44.721056,success,,18.30081343650818
18,youtube,primary,amazon shopping experience,651,2026-06-02 18:32:09.325417,success,,19.572221994400024
19,youtube,primary,ebay buying experience review,557,2026-06-02 18:32:33.528472,success,,19.16420817375183
20,youtube,primary,etsy seller review customer experience,366,2026-06-02 18:32:56.937306,success,,18.372074365615845
21,youtube,primary,online purchase review feedback,341,2026-06-02 18:33:20.382780,success,,18.410385370254517
22,youtube,primary,digital market trends consumer,587,2026-06-02 18:33:44.201824,success,,18.781537294387817
23,youtube,primary,ecommerce platform comparison,185,2026-06-02 18:34:07.325723,success,,18.08261728286743
24,youtube,primary,consumer behavior online shopping,155,2026-06-02 18:34:29.851889,success,,17.487255811691284
25,youtube,primary,digital market trends consumer,347,2026-06-02 18:34:52.808212,success,,17.913681268692017
26,youtube,primary,online purchase review feedback,479,2026-06-02 18:35:16.271577,success,,18.428585290908813
27,youtube,primary,why i stopped online shopping,543,2026-06-02 18:35:40.059376,success,,18.75013756752014
28,youtube,primary,online shopping tips consumer advice,211,2026-06-02 18:36:04.114215,success,,19.009984016418457
29,bluesky,secondary,online shopping experience,95,2026-06-02 18:36:11.965186,success,,0.8014335632324219
30,bluesky,secondary,online shopping experience,0,2026-06-02 18:36:12.004818,error,name 'time_libS' is not defined,0.0
31,bluesky,secondary,product review purchase,92,2026-06-02 18:36:12.658489,success,,0.6130132675170898
32,bluesky,secondary,product review purchase,0,2026-06-02 18:36:12.695376,error,name 'time_libS' is not defined,0.0
33,bluesky,secondary,customer service complaint,97,2026-06-02 18:36:13.335306,success,,0.6027700901031494
34,bluesky,secondary,customer service complaint,0,2026-06-02 18:36:13.374361,error,name 'time_libS' is not defined,0.0
35,bluesky,secondary,ecommerce digital market,36,2026-06-02 18:36:13.784674,success,,0.3744978904724121
36,bluesky,secondary,ecommerce digital market,0,2026-06-02 18:36:13.819575,error,name 'time_libS' is not defined,0.0
37,bluesky,secondary,brand recommendation buy,38,2026-06-02 18:36:14.314950,success,,0.34949827194213867
38,bluesky,secondary,brand recommendation buy,0,2026-06-02 18:36:14.356247,error,name 'time_libS' is not defined,0.0
39,bluesky,secondary,digital marketplace review,10,2026-06-02 18:36:14.829802,success,,0.3290119171142578
40,bluesky,secondary,digital marketplace review,0,2026-06-02 18:36:14.872326,error,name 'time_libS' is not defined,0.0
41,bluesky,secondary,consumer behavior shopping,72,2026-06-02 18:36:15.832830,success,,0.9196782112121582
