topic_id,keywords,top_word,doc_count
0,"the, to, you, and, my, it, of, is, for, that",the,1498
1,"and, data, ai, we, to, in, the, of, for, our",and,444
2,"service, customer, complaint, they, refund, the, my, to, is, me",service,332
3,"reviews, review, product, the, google, to, it, fake, this, amazon",reviews,328
4,"temu, from, order, items, ve, have, my, had, they, ordered",temu,144
5,"refurbished, iphone, phones, battery, ebay, phone, 11, bought, new, buy",refurbished,95
6,"watch, ebay, watches, authentication, was, the, it, japan, purchase, if",watch,77
7,"upemor, 3d, consumer, 3c, video, interesting, very, consumers, behavior, how",upemor,66
8,"nhi, se, hai, ki, kiya, maine, complaint, ho, bhi, ka",nhi,60
9,"price, robot, store, for, one, is, 25, cheaper, buy, vacuum",price,57
10,"eu, act, markets, digital, apple, the, europe, pharoscion, regulation, and",eu,55
11,"x27, social, the, quot, that, media, to, of, is, and",x27,52
12,"dress, dresses, wedding, jj, house, bridesmaid, women, from, was, my",dress,52
13,"trends, these, wild, trend, wow, about, didnt, know, are, eye",trends,48
14,"x27, the, car, of, in, is, are, to, tariffs, production",x27,37
15,"shein, kids, clothes, buy, child, from, children, bad, not, labor",shein,32
16,"store, online, bandcamp, com, sale, picnic, romance, vgen, so, shop",store,31
17,"printify, printful, gelato, personalization, if, have, shipping, change, they, them",printify,28
18,"samsung, repair, apple, phone, device, was, service, the, repaired, display",samsung,28
19,"00, bixby, cider, 16, 30, she, good, fake, 325, cellphone",00,28
20,"app, apple, ios, the, x27, apps, that, to, is, size",app,27
21,"vine, taxes, tax, program, you, amazon, income, pay, free, it",vine,25
22,"course, sign, entrepreneur, bonuses, 690, free, writing, family, week, my",course,23
23,"crypto, futures, the, market, x27, of, ethereum, traders, in, etfs",crypto,21
24,"review, thank, honest, this, thanks, appreciate, you, love, great, for",review,20
25,"quality, felt, screen, same, powershot, video, even, the, colour, not",quality,20
26,"meesho, myntra, return, cotton, quality, colour, always, messho, difference, dress",meesho,20
27,"canva, templates, yale, template, do, you, link, on, listing, use",canva,20
28,"tiktok, amazon, shop, dress, edges, wand, the, better, preformance, curling",tiktok,18
29,"va, na, amazon, ako, po, manifesting, ko, 2026, din, ang",va,17
30,"brief, men, thong, underwear, buy, 00, male, online, now, shop",brief,17
31,"my, she, hands, receipt, grab, flake, was, napkin, walk, shoplifting",my,16
32,"github, code, visibly, issues, merge, fresh, commits, and, pr, x27",github,16
33,"lamp, honest, prague, review, reviews, dining, google, the, would, romantic",lamp,15
34,"chinese, shipping, from, sweatshops, sweatshop, china, he, factories, cheap, really",chinese,15
35,"glasses, 10, 2d, where, haha, frames, buy, should, blowtorch, amzt66",glasses,15
36,"usa, country, ghana, please, amazon, test, mexico, free, can, in",usa,14
37,"iphone, 17, sarah, amazing, lavender, phone, youre, blue, honestly, ve",iphone,14
38,"ai, video, this, generative, people, is, clicked, wondering, that, sounds",ai,14
39,"dropshipping, millionaire, drop, shipping, millionaires, earning, don, want, save, dropshipper",dropshipping,14
40,"compensation, classpass, receive, link, site, may, purchase, trial, through, 2026",compensation,14
41,"africa, ecommerce, commerce, 2025, trillion, market, by, 49, digital, global",africa,13
42,"neil, rumora, engagement, my, always, align, comment, love, strategies, dainty",neil,12
43,"healthy, jabib, andres, latam, as, you, and, fithub, aisle, me",healthy,12
